context_precision,context_recall,faithfulness,token_based,chunk_size,chunk_overlap,top_k,fetch_k,lambda_mult,score_threshold,use_multiquery,n_queries,error
0.083333333325,1.0,0.9535714285714285,True,1500,200,40,160,0.3,,True,8,
,,,True,1500,200,40,160,0.3,,True,10,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-zYTBkYTxDy66N57r4mO9onFU on requests per day (RPD): Limit 10000, Used 10000, Requested 1. Please try again in 8.64s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}"
,,,True,1500,200,60,160,0.3,,True,8,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-zYTBkYTxDy66N57r4mO9onFU on requests per day (RPD): Limit 10000, Used 10000, Requested 1. Please try again in 8.64s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}"
,,,True,1500,200,60,160,0.3,,True,10,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-zYTBkYTxDy66N57r4mO9onFU on requests per day (RPD): Limit 10000, Used 10000, Requested 1. Please try again in 8.64s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}"
,,,True,1500,200,40,200,0.3,,True,8,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-zYTBkYTxDy66N57r4mO9onFU on requests per day (RPD): Limit 10000, Used 10000, Requested 1. Please try again in 8.64s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}"
,,,True,1500,200,40,200,0.3,,True,10,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-zYTBkYTxDy66N57r4mO9onFU on requests per day (RPD): Limit 10000, Used 10000, Requested 1. Please try again in 8.64s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}"
,,,True,1500,200,60,200,0.3,,True,8,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-zYTBkYTxDy66N57r4mO9onFU on requests per day (RPD): Limit 10000, Used 10000, Requested 1. Please try again in 8.64s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}"
,,,True,1500,200,60,200,0.3,,True,10,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-zYTBkYTxDy66N57r4mO9onFU on requests per day (RPD): Limit 10000, Used 10000, Requested 1. Please try again in 8.64s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}"
,,,True,1500,200,40,160,0.35,,True,8,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-zYTBkYTxDy66N57r4mO9onFU on requests per day (RPD): Limit 10000, Used 10000, Requested 1. Please try again in 8.64s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}"
,,,True,1500,200,40,160,0.35,,True,10,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-zYTBkYTxDy66N57r4mO9onFU on requests per day (RPD): Limit 10000, Used 10000, Requested 1. Please try again in 8.64s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}"
,,,True,1500,200,60,160,0.35,,True,8,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-zYTBkYTxDy66N57r4mO9onFU on requests per day (RPD): Limit 10000, Used 10000, Requested 1. Please try again in 8.64s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}"
,,,True,1500,200,60,160,0.35,,True,10,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-zYTBkYTxDy66N57r4mO9onFU on requests per day (RPD): Limit 10000, Used 10000, Requested 1. Please try again in 8.64s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}"
,,,True,1500,200,40,200,0.35,,True,8,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-zYTBkYTxDy66N57r4mO9onFU on requests per day (RPD): Limit 10000, Used 10000, Requested 1. Please try again in 8.64s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}"
,,,True,1500,200,40,200,0.35,,True,10,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-zYTBkYTxDy66N57r4mO9onFU on requests per day (RPD): Limit 10000, Used 10000, Requested 1. Please try again in 8.64s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}"
,,,True,1500,200,60,200,0.35,,True,8,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-zYTBkYTxDy66N57r4mO9onFU on requests per day (RPD): Limit 10000, Used 10000, Requested 1. Please try again in 8.64s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}"
